*ो*े*ं*़	UNK
*ी*ो*****्*्*्*्**	UNK
**ा*****्*्*्*्***्*	UNK
*ो*्****े*	UNK
***ूं*ि	UNK
*ॉ*ी*़	UNK
*ा*्***ि*ा**	NN
*ि*ा**िं*	NN
*ि*ो*्*िं*	NN
*ै****्*े	UNK
**़*ो*े**	UNK
*ु*्*ां**ि	NN
*ं*ा**ां	NN
***ु**े	JJ
*्*ें**	NN
**ि***्*ि*ी	NN.JJ
*ं*ा*ु*्**	NN
*े*ीं	VAUX.VM
**्***े*ा	UNK
*्*ा**ं*्*	NN
**्*ा***ि*्*ा*	UNK
*********	QC.UNK
*ु*ा**्*	XC.NN
**ो*़ें	UNK
**ी*्*ा*्*ि*ों	NN
*्*ै*ो*ि*ों	UNK
*ैं***ें*	UNK
*्*े**ू*्**	JJ
*ृ*ा*ि*ा*	NN
*े**्*े*्	UNK.NN
*ां*्*े***ा*ां*ा	UNK
*्*ि*ो*	UNK.NN
*े*्*ॉ*ॉ*ी	NNP
*्*ु*्*े*	UNK.NN
**ी***ा*ा**ो*ि*ि**	UNK
**्**ो*****्*्*्*्**ु*ी	UNK
***्**ों*ि	UNK
**ा*ें*े	UNK.VM
***ा**ि*	UNK.JJ
*्*ौ*ो	UNK
*ि*ि*े	UNK
*ि*ि*ी	NN.JJ.NNP
*्**ू**्***्**्*	UNK
*ि*ि*्	XC
*ं*्*ा**	JJ.NN
*ि*ि*ॊ	NN
*ि*ि*ो	XC.NN
*ां*्**े*ी	JJ
**ा*ो*्*ा*	NN
*ो*ा**ि*ां	NN
*ो*े*ा**	JJ
**्*ै*	XC.UNK.JJ.NNP
*ै**िं*	NN
*्*ौ*ा	UNK.VM.NN
*़**ि*ॉं	UNK
**ां*ि*ां	UNK
*ि*ि*ि	XC.UNK
*ा*े**ू*े	UNK
*ि*ें*	XC.UNK
*ै*ें*ी*ो	UNK
****़ों	UNK
*ा**ि*ु*्*	NN
*ी*ा***	UNK.NN
*ि*्**ं*्*	XC
**्*ो*्*ा*्*ि*	UNK
